code,level_1,log_return,行业
2352,年化均值,0.0071,
2352,年化波动率,0.3218,
2352,偏度,0.3819,
2352,峰度,3.6328,
2352,最大回撤,-0.7567,
600036,年化均值,0.038,银行
600036,年化波动率,0.2753,银行
600036,偏度,0.2697,银行
600036,峰度,3.222,银行
600036,最大回撤,-0.5464,银行
600104,年化均值,-0.0798,汽车
600104,年化波动率,0.3148,汽车
600104,偏度,0.3482,汽车
600104,峰度,5.3663,汽车
600104,最大回撤,-0.6099,汽车
600660,年化均值,0.1619,汽车制造
600660,年化波动率,0.3287,汽车制造
600660,偏度,0.5573,汽车制造
600660,峰度,3.1205,汽车制造
600660,最大回撤,-0.5657,汽车制造
600900,年化均值,0.094,电力
600900,年化波动率,0.1774,电力
600900,偏度,0.3689,电力
600900,峰度,3.572,电力
600900,最大回撤,-0.1791,电力
600941,年化均值,0.1683,通信
600941,年化波动率,0.2494,通信
600941,偏度,0.602,通信
600941,峰度,4.9824,通信
600941,最大回撤,-0.196,通信
601006,年化均值,-0.0026,交通运输
601006,年化波动率,0.158,交通运输
601006,偏度,-0.416,交通运输
601006,峰度,6.8138,交通运输
601006,最大回撤,-0.3034,交通运输
601088,年化均值,0.2222,能源
601088,年化波动率,0.2983,能源
601088,偏度,0.315,能源
601088,峰度,3.2854,能源
601088,最大回撤,-0.2353,能源
601398,年化均值,0.0888,银行
601398,年化波动率,0.1623,银行
601398,偏度,0.4514,银行
601398,峰度,5.7718,银行
601398,最大回撤,-0.224,银行
601728,年化均值,0.0508,通信
601728,年化波动率,0.2802,通信
601728,偏度,0.3339,通信
601728,峰度,7.9831,通信
601728,最大回撤,-0.3308,通信
